"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1422","updateProduct","Default Suite","2025-12-03","passed","2025-12-03","TC16_Update_Product","fakeapi.in","TC16_Update_Product","updateProduct"
"","545","getPostByID","Default Suite","2025-12-03","passed","2025-12-03","TC18_Get_Post_By_ID","fakeapi.in","TC18_Get_Post_By_ID","getPostByID"
"","558","filterAvailableProducts","Default Suite","2025-12-03","passed","2025-12-03","TC10_Filter_Products_By_Availability","fakeapi.in","TC10_Filter_Products_By_Availability","filterAvailableProducts"
"","526","deleteProductInvalidID","Default Suite","2025-12-03","passed","2025-12-03","TC23_DeleteProduct_InvalidID_Validation","fakeapi.in","TC23_DeleteProduct_InvalidID_Validation","deleteProductInvalidID"
"","564","createProductWithWrongDataTypes","Default Suite","2025-12-03","passed","2025-12-03","TC24_Negative_Create_New_Product_Wrong_data_type","fakeapi.in","TC24_Negative_Create_New_Product_Wrong_data_type","createProductWithWrongDataTypes"
"","539","filterPostsByInvalidCategory","Default Suite","2025-12-03","passed","2025-12-03","TC25_Filter_Posts_By_INVALIDCategory_Validation","fakeapi.in","TC25_Filter_Posts_By_INVALIDCategory_Validation","filterPostsByInvalidCategory"
"","554","getUserByInvalidID","Default Suite","2025-12-03","failed","2025-12-03","TC20_Negative_GetSingleUser_InvalidID","fakeapi.in","TC20_Negative_GetSingleUser_InvalidID","getUserByInvalidID"
"","559","createNewProduct","Default Suite","2025-12-03","failed","2025-12-03","TC06_Create_New_Product","fakeapi.in","TC06_Create_New_Product","createNewProduct"
"","803","filterCartsWithOneItem","Default Suite","2025-12-03","failed","2025-12-03","TC08_Filter_Carts_With_oneItem","fakeapi.in","TC08_Filter_Carts_With_oneItem","filterCartsWithOneItem"
"","554","filterPostsByAuthorID","Default Suite","2025-12-03","passed","2025-12-03","TC17_Filter_Posts_By_AuthorID","fakeapi.in","TC17_Filter_Posts_By_AuthorID","filterPostsByAuthorID"
"","574","searchProductsByCategory","Default Suite","2025-12-03","passed","2025-12-03","TC05_Search_Products_By_Category","fakeapi.in","TC05_Search_Products_By_Category","searchProductsByCategory"
"","597","filterProductsByRating","Default Suite","2025-12-03","passed","2025-12-03","TC11_Filter_Products_By_Rating","fakeapi.in","TC11_Filter_Products_By_Rating","filterProductsByRating"
"","548","deleteProductInvalidID","Default Suite","2025-12-03","failed","2025-12-03","TC22_Negative_DeleteProduct_InvalidID","fakeapi.in","TC22_Negative_DeleteProduct_InvalidID","deleteProductInvalidID"
"","605","getUserById","Default Suite","2025-12-03","passed","2025-12-03","TC02_GetSingleUser","fakeapi.in","TC02_GetSingleUser","getUserById"
"","3763","getAllUsers","Default Suite","2025-12-03","passed","2025-12-03","TC01_getAllUsers","fakeapi.in","TC01_getAllUsers","getAllUsers"
"","548","getAllPosts","Default Suite","2025-12-03","passed","2025-12-03","TC13_Get_All_Posts","fakeapi.in","TC13_Get_All_Posts","getAllPosts"
"","552","filterPostsByInvalidAuthorID","Default Suite","2025-12-03","passed","2025-12-03","TC26_Negative_Filter_Posts_By_Author_InvalidID","fakeapi.in","TC26_Negative_Filter_Posts_By_Author_InvalidID","filterPostsByInvalidAuthorID"
"","528","createProductWithMissingFields","Default Suite","2025-12-03","passed","2025-12-03","TC21_CreateProduct_MissingFields_Validation_Check","fakeapi.in","TC21_CreateProduct_MissingFields_Validation_Check","createProductWithMissingFields"
"","584","pagination_Users","Default Suite","2025-12-03","passed","2025-12-03","TC03_Pagination_Users","fakeapi.in","TC03_Pagination_Users","pagination_Users"
"","571","paginateProducts","Default Suite","2025-12-03","passed","2025-12-03","TC14_Paginate_Products_Page2_Limit5","fakeapi.in","TC14_Paginate_Products_Page2_Limit5","paginateProducts"
"","670","filterEmptyCarts","Default Suite","2025-12-03","passed","2025-12-03","TC09_Filter_Empty_Carts","fakeapi.in","TC09_Filter_Empty_Carts","filterEmptyCarts"
"","559","filterPostsByCategory","Default Suite","2025-12-03","passed","2025-12-03","TC19_Filter_Posts_By_Category","fakeapi.in","TC19_Filter_Posts_By_Category","filterPostsByCategory"
"","546","deleteProductById","Default Suite","2025-12-03","passed","2025-12-03","TC07_Delete_Product_By_ID","fakeapi.in","TC07_Delete_Product_By_ID","deleteProductById"
"","579","getAllProducts","Default Suite","2025-12-03","passed","2025-12-03","TC04_Get_All_Products","fakeapi.in","TC04_Get_All_Products","getAllProducts"
"","747","getAllCarts","Default Suite","2025-12-03","passed","2025-12-03","TC12_Get_All_Carts","fakeapi.in","TC12_Get_All_Carts","getAllCarts"
"","568","searchProductsByName","Default Suite","2025-12-03","passed","2025-12-03","TC15_Search_Products_By_Name","fakeapi.in","TC15_Search_Products_By_Name","searchProductsByName"
